contig_id	label	source_genome	source_category	pident	query_coverage	length
NODE_1000_length_7652_cov_2.881980	background	-	-	-	-	7652
NODE_1001_length_7635_cov_38.892300	background	-	-	-	-	7635
NODE_1002_length_7629_cov_62.632283	background	-	-	-	-	7629
NODE_1003_length_7628_cov_2.919613	background	-	-	-	-	7628
NODE_1004_length_7624_cov_16.052339	background	-	-	-	-	7624
NODE_1005_length_7611_cov_31.376958	bacterial	NZ_AP012332.1	negative_control	98.9	80.8	7611
NODE_1006_length_7608_cov_10.428894	background	-	-	-	-	7608
NODE_1007_length_7608_cov_4.780773	background	-	-	-	-	7608
NODE_1008_length_7602_cov_8.248638	background	-	-	-	-	7602
NODE_1009_length_7594_cov_60.588267	background	-	-	-	-	7594
NODE_100_length_58061_cov_50.555757	background	-	-	-	-	58061
NODE_1010_length_7588_cov_16.808148	background	-	-	-	-	7588
NODE_1011_length_7587_cov_4.031558	background	-	-	-	-	7587
NODE_1012_length_7581_cov_3.907516	background	-	-	-	-	7581
NODE_1013_length_7559_cov_3.270516	background	-	-	-	-	7559
NODE_1014_length_7547_cov_55.365596	bacterial	NZ_CP049230.1	negative_control	99.0	100.0	7547
NODE_1015_length_7543_cov_3.295473	background	-	-	-	-	7543
NODE_1016_length_7540_cov_3.161195	background	-	-	-	-	7540
NODE_1017_length_7529_cov_18.413446	background	-	-	-	-	7529
NODE_1018_length_7514_cov_4.409305	background	-	-	-	-	7514
NODE_1019_length_7509_cov_140.111276	background	-	-	-	-	7509
NODE_101_length_57488_cov_13.704656	background	-	-	-	-	57488
NODE_1020_length_7495_cov_7.212726	background	-	-	-	-	7495
NODE_1021_length_7483_cov_3.383473	background	-	-	-	-	7483
NODE_1022_length_7435_cov_14.877820	background	-	-	-	-	7435
NODE_1023_length_7435_cov_8.084670	background	-	-	-	-	7435
NODE_1024_length_7402_cov_4.679317	background	-	-	-	-	7402
NODE_1025_length_7397_cov_3.348224	background	-	-	-	-	7397
NODE_1026_length_7367_cov_4.550892	background	-	-	-	-	7367
NODE_1027_length_7365_cov_5.146679	background	-	-	-	-	7365
NODE_1028_length_7362_cov_2.693617	background	-	-	-	-	7362
NODE_1029_length_7342_cov_4.369443	background	-	-	-	-	7342
NODE_102_length_56990_cov_13.481032	background	-	-	-	-	56990
NODE_1030_length_7339_cov_2.849490	background	-	-	-	-	7339
NODE_1031_length_7327_cov_4.395310	background	-	-	-	-	7327
NODE_1032_length_7322_cov_9.987440	background	-	-	-	-	7322
NODE_1033_length_7316_cov_3.890040	background	-	-	-	-	7316
NODE_1034_length_7315_cov_43.205305	background	-	-	-	-	7315
NODE_1035_length_7314_cov_73.484731	background	-	-	-	-	7314
NODE_1036_length_7313_cov_38.444721	background	-	-	-	-	7313
NODE_1037_length_7302_cov_4.734671	background	-	-	-	-	7302
NODE_1038_length_7300_cov_33.228298	background	-	-	-	-	7300
NODE_1039_length_7298_cov_87.491206	background	-	-	-	-	7298
NODE_103_length_56923_cov_13.071298	background	-	-	-	-	56923
NODE_1040_length_7294_cov_3.444229	background	-	-	-	-	7294
NODE_1041_length_7284_cov_22.604135	background	-	-	-	-	7284
NODE_1042_length_7280_cov_2.647369	background	-	-	-	-	7280
NODE_1043_length_7264_cov_4.925143	background	-	-	-	-	7264
