contig_id	label	source_genome	source_category	pident	query_coverage	length
NODE_100_length_7120_cov_111.767429	bacterial	NZ_CP039266.1	negative_control	99.3	80.6	7120
NODE_101_length_7110_cov_134.085312	background	-	-	-	-	7110
NODE_102_length_7034_cov_109.353888	background	-	-	-	-	7034
NODE_103_length_7032_cov_185.010352	background	-	-	-	-	7032
NODE_104_length_7021_cov_143.477967	background	-	-	-	-	7021
NODE_105_length_6736_cov_141.303950	background	-	-	-	-	6736
NODE_106_length_6707_cov_216.386275	background	-	-	-	-	6707
NODE_107_length_6704_cov_176.636940	background	-	-	-	-	6704
NODE_108_length_6634_cov_199.928778	background	-	-	-	-	6634
NODE_109_length_6572_cov_113.555350	bacterial	NZ_CP039266.1	negative_control	99.4	97.2	6572
NODE_10_length_36461_cov_139.588500	background	-	-	-	-	36461
NODE_110_length_6561_cov_184.002468	bacterial	NZ_CP039266.1	negative_control	99.0	97.5	6561
NODE_111_length_6561_cov_37.128007	background	-	-	-	-	6561
NODE_112_length_6504_cov_2.137700	background	-	-	-	-	6504
NODE_113_length_6474_cov_138.978896	background	-	-	-	-	6474
NODE_114_length_6342_cov_2.835914	background	-	-	-	-	6342
NODE_115_length_6335_cov_174.034036	bacterial	NZ_CP039266.1	negative_control	99.4	97.7	6335
NODE_116_length_6291_cov_113.529289	bacterial	NZ_CP039266.1	negative_control	99.1	96.7	6291
NODE_117_length_6210_cov_170.734388	background	-	-	-	-	6210
NODE_118_length_6132_cov_119.259950	background	-	-	-	-	6132
NODE_119_length_6051_cov_2.601272	background	-	-	-	-	6051
NODE_11_length_36098_cov_115.735349	bacterial	NZ_CP039266.1	negative_control	98.5	80.9	36098
NODE_120_length_6034_cov_5.932348	background	-	-	-	-	6034
NODE_121_length_6018_cov_158.748527	bacterial	NZ_CP039266.1	negative_control	99.4	98.8	6018
NODE_122_length_5644_cov_3.832765	background	-	-	-	-	5644
NODE_123_length_5603_cov_2.596453	background	-	-	-	-	5603
NODE_124_length_5570_cov_147.969234	background	-	-	-	-	5570
NODE_125_length_5524_cov_39.737837	background	-	-	-	-	5524
